Wavelength	Transit Depth
#(meters)	(percent)
2.997692e-07	6.178491e-01
3.000686e-07	6.177725e-01
3.003682e-07	6.176959e-01
3.006681e-07	6.176193e-01
3.009683e-07	6.175427e-01
3.012689e-07	6.174661e-01
3.015697e-07	6.173895e-01
3.018708e-07	6.173129e-01
3.021723e-07	6.172363e-01
3.024740e-07	6.171598e-01
3.027760e-07	6.170832e-01
3.030783e-07	6.170066e-01
3.033810e-07	6.169301e-01
3.036839e-07	6.168535e-01
3.039872e-07	6.167770e-01
3.042907e-07	6.167004e-01
3.045945e-07	6.166239e-01
3.048987e-07	6.165474e-01
3.052031e-07	6.164708e-01
3.055079e-07	6.163943e-01
3.058130e-07	6.163178e-01
3.061183e-07	6.162413e-01
3.064240e-07	6.161647e-01
3.067300e-07	6.160882e-01
3.070363e-07	6.160117e-01
3.073428e-07	6.159352e-01
3.076497e-07	6.158588e-01
3.079569e-07	6.157823e-01
3.082644e-07	6.157058e-01
3.085723e-07	6.156293e-01
3.088804e-07	6.155528e-01
3.091888e-07	6.154764e-01
3.094975e-07	6.153999e-01
3.098066e-07	6.153234e-01
3.101159e-07	6.152470e-01
3.104256e-07	6.151705e-01
3.107356e-07	6.150941e-01
3.110459e-07	6.150176e-01
3.113564e-07	6.149412e-01
3.116674e-07	6.148648e-01
3.119786e-07	6.147883e-01
3.122901e-07	6.147119e-01
3.126019e-07	6.146355e-01
3.129141e-07	6.145591e-01
3.132265e-07	6.144827e-01
3.135393e-07	6.144063e-01
3.138524e-07	6.143299e-01
3.141658e-07	6.142535e-01
3.144795e-07	6.141771e-01
3.147935e-07	6.141007e-01
3.151078e-07	6.140243e-01
3.154225e-07	6.139479e-01
3.157374e-07	6.138716e-01
3.160527e-07	6.137952e-01
3.163683e-07	6.137189e-01
3.166842e-07	6.136425e-01
3.170004e-07	6.135662e-01
3.173170e-07	6.134898e-01
3.176338e-07	6.134135e-01
3.179510e-07	6.133371e-01
3.182685e-07	6.132608e-01
3.185863e-07	6.131845e-01
3.189044e-07	6.131081e-01
3.192228e-07	6.130318e-01
3.195416e-07	6.129555e-01
3.198607e-07	6.128792e-01
3.201800e-07	6.128029e-01
3.204998e-07	6.127266e-01
3.208198e-07	6.126503e-01
3.211401e-07	6.125740e-01
3.214608e-07	6.124977e-01
3.217818e-07	6.124214e-01
3.221031e-07	6.123452e-01
3.224247e-07	6.122689e-01
3.227467e-07	6.121926e-01
3.230690e-07	6.121164e-01
3.233916e-07	6.120401e-01
3.237145e-07	6.119639e-01
3.240377e-07	6.118876e-01
3.243613e-07	6.118114e-01
3.246852e-07	6.117351e-01
3.250094e-07	6.116589e-01
3.253339e-07	6.115827e-01
3.256588e-07	6.115064e-01
3.259840e-07	6.114302e-01
3.263095e-07	6.113540e-01
3.266353e-07	6.112778e-01
3.269615e-07	6.112016e-01
3.272879e-07	6.111254e-01
3.276147e-07	6.110492e-01
3.279419e-07	6.109730e-01
3.282693e-07	6.108968e-01
3.285971e-07	6.108206e-01
3.289253e-07	6.107444e-01
3.292537e-07	6.106683e-01
3.295825e-07	6.105921e-01
3.299116e-07	6.105160e-01
3.302410e-07	6.104398e-01
3.305708e-07	6.103636e-01
3.309008e-07	6.102875e-01
3.312313e-07	6.102113e-01
3.315620e-07	6.101352e-01
3.318931e-07	6.100591e-01
3.322245e-07	6.099829e-01
3.325562e-07	6.099068e-01
3.328883e-07	6.098307e-01
3.332207e-07	6.097546e-01
3.335534e-07	6.096785e-01
3.338865e-07	6.096024e-01
3.342199e-07	6.095263e-01
3.345536e-07	6.094502e-01
3.348877e-07	6.093741e-01
3.352221e-07	6.092980e-01
3.355568e-07	6.092219e-01
3.358919e-07	6.091458e-01
3.362273e-07	6.090698e-01
3.365630e-07	6.089937e-01
3.368991e-07	6.089176e-01
3.372355e-07	6.088416e-01
3.375722e-07	6.087655e-01
3.379093e-07	6.086895e-01
3.382467e-07	6.086134e-01
3.385845e-07	6.085374e-01
3.389226e-07	6.084613e-01
3.392610e-07	6.083853e-01
3.395998e-07	6.083093e-01
3.399389e-07	6.082333e-01
3.402783e-07	6.081573e-01
3.406181e-07	6.080812e-01
3.409582e-07	6.080052e-01
3.412987e-07	6.079292e-01
3.416395e-07	6.078532e-01
3.419806e-07	6.077772e-01
3.423221e-07	6.077013e-01
3.426639e-07	6.076253e-01
3.430061e-07	6.075493e-01
3.433486e-07	6.074733e-01
3.436914e-07	6.073974e-01
3.440346e-07	6.073214e-01
3.443781e-07	6.072454e-01
3.447220e-07	6.071695e-01
3.450662e-07	6.070935e-01
3.454108e-07	6.070176e-01
3.457557e-07	6.069416e-01
3.461010e-07	6.068657e-01
3.464466e-07	6.067898e-01
3.467925e-07	6.067138e-01
3.471388e-07	6.066379e-01
3.474854e-07	6.065620e-01
3.478324e-07	6.064861e-01
3.481797e-07	6.064102e-01
3.485274e-07	6.063343e-01
3.488754e-07	6.062584e-01
3.492238e-07	6.061825e-01
3.495725e-07	6.061066e-01
3.499215e-07	6.060307e-01
3.502709e-07	6.059577e-01
3.506207e-07	6.058817e-01
3.509708e-07	6.058057e-01
3.513213e-07	6.057297e-01
3.516721e-07	6.056538e-01
3.520232e-07	6.055779e-01
3.523747e-07	6.055019e-01
3.527266e-07	6.054260e-01
3.530788e-07	6.053501e-01
3.534314e-07	6.052742e-01
3.537843e-07	6.051983e-01
3.541376e-07	6.051224e-01
3.544912e-07	6.050465e-01
3.548451e-07	6.049707e-01
3.551995e-07	6.048948e-01
3.555542e-07	6.048190e-01
3.559092e-07	6.047435e-01
3.562646e-07	6.046673e-01
3.566203e-07	6.045914e-01
3.569764e-07	6.045156e-01
3.573329e-07	6.044398e-01
3.576897e-07	6.043640e-01
3.580468e-07	6.042882e-01
3.584044e-07	6.042124e-01
3.587622e-07	6.041366e-01
3.591205e-07	6.040608e-01
3.594791e-07	6.039850e-01
3.598380e-07	6.039092e-01
3.601973e-07	6.038337e-01
3.605570e-07	6.037602e-01
3.609170e-07	6.036820e-01
3.612774e-07	6.036062e-01
3.616382e-07	6.035304e-01
3.619993e-07	6.034547e-01
3.623608e-07	6.033793e-01
3.627226e-07	6.033032e-01
3.630848e-07	6.032275e-01
3.634473e-07	6.031519e-01
3.638103e-07	6.030760e-01
3.641735e-07	6.030004e-01
3.645372e-07	6.029246e-01
