,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
386,0.9999983445030748,-0.11959193909689247,4.597954362696999e-05,-0.11959193909689247,1.0,-1.6554969252124963e-06
645,0.9999644892625233,-0.1193119556531883,4.597954362696999e-05,-0.1193119556531883,1.0,-3.551073747665168e-05
134,1.000031085421008,-0.11903332617225715,4.597954362696999e-05,-0.11903332617225715,1.0,3.1085421007936986e-05
406,0.9999962153006102,-0.11870036747097856,4.597954362696999e-05,-0.11870036747097856,1.0,-3.7846993897749925e-06
665,0.9999928644483663,-0.11841727943777869,4.597954362696999e-05,-0.11841727943777869,1.0,-7.1355516336746305e-06
154,1.000026368623013,-0.11813169690037739,4.597954362696999e-05,-0.11813169690037739,1.0,2.6368623013084402e-05
426,0.9999537460084513,-0.11780899335923323,4.597954362696999e-05,-0.11780899335923323,1.0,-4.62539915486726e-05
684,1.0001129920778478,-0.11752199204107683,4.597954362696999e-05,-0.11752199204107683,1.0,0.00011299207784776222
174,1.0000220713266694,-0.11723139319917664,4.597954362696999e-05,-0.11723139319917664,1.0,2.2071326669426128e-05
446,0.9999861718383974,-0.11691786266294457,4.597954362696999e-05,-0.11691786266294457,1.0,-1.3828161602558176e-05
704,0.9999852926698795,-0.1166257888460791,4.597954362696999e-05,-0.1166257888460791,1.0,-1.4707330120544704e-05
194,0.9999854591404145,-0.11633216358586651,4.597954362696999e-05,-0.11633216358586651,1.0,-1.4540859585521204e-05
466,1.0000252050915415,-0.11602672306457862,4.597954362696999e-05,-0.11602672306457862,1.0,2.5205091541469216e-05
724,0.9999917753912368,-0.11572878251939756,4.597954362696999e-05,-0.11572878251939756,1.0,-8.22460876315212e-06
214,1.0000102083756566,-0.11543381694445998,4.597954362696999e-05,-0.11543381694445998,1.0,1.0208375656572954e-05
485,0.9999924469001039,-0.11513574119942405,4.597954362696999e-05,-0.11513574119942405,1.0,-7.5530998960848805e-06
743,0.9999930759869889,-0.11483092437794085,4.597954362696999e-05,-0.11483092437794085,1.0,-6.924013011055941e-06
232,0.9999595847994444,-0.11453663897515298,4.597954362696999e-05,-0.11453663897515298,1.0,-4.0415200555643516e-05
502,1.0000862901033822,-0.11424460577387663,4.597954362696999e-05,-0.11424460577387663,1.0,8.629010338223608e-05
763,0.9999927741268068,-0.11393194012731556,4.597954362696999e-05,-0.11393194012731556,1.0,-7.225873193239529e-06
252,0.9999886238549329,-0.11364037791685178,4.597954362696999e-05,-0.11364037791685178,1.0,-1.1376145067076848e-05
520,1.00002869124647,-0.11335336435831778,4.597954362696999e-05,-0.11335336435831778,1.0,2.869124646998067e-05
0,1.0000033482044792,-0.11317747592585192,4.597954362696999e-05,-0.11317747592585192,1.0,3.3482044792254584e-06
783,1.0000836091847194,-0.11303196135088456,4.597954362696999e-05,-0.11303196135088456,1.0,8.360918471939094e-05
272,1.0000057383193475,-0.11274496060588035,4.597954362696999e-05,-0.11274496060588035,1.0,5.7383193474702665e-06
