,Description,K2,Labels
0,Transit Midpoint,$2457140.71945_{-0.00032}^{+0.00032}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$1.673909_{-0.00001}^{+0.00001}$,$P$ (days)
2,Radius ratio,$0.02607_{-0.00009}^{+0.00009}$,$R_p/R_*$
3,Planet radius,$3.38_{-0.14}^{+0.14}$,$R_p (R_\oplus)$
4,Planet radius,$0.302_{-0.013}^{+0.013}$,$R_p (R_J)$
5,Transit depth,$0.0006797_{-0.000005}^{+0.000005}$,$\delta$
6,Normalized orbital radius,$8.179_{-0.12}^{+0.076}$,$a/R_*$
7,Semi-major axis,$0.0452_{-0.0020}^{+0.0019}$,$a$ (AU)
8,Density of star,$3.69_{-0.16}^{+0.10}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$89.24_{-0.65}^{+0.52}$,$i$ $(^{\circ})$
10,Impact parameter,$0.108_{-0.074}^{+0.090}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$1060.0_{-16.0}^{+17.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$877.0_{-53.0}^{+57.0}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.06658_{-0.00040}^{+0.00039}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.001719_{-0.00002}^{+0.00005}$,$\tau$ (days)
17,Time of secondary eclipse,$2457141.5564_{-0.00031}^{+0.00032}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
