,phase_fold_scaled_flux_k2,phase_fold_time_k2,scaled_error_k2,xmodel_k2,ymodel_k2,yresidual_k2
386,0.999997920624,-0.119583805862,4.65462314775e-05,-0.119583805862,1.0,2.92411792935e-06
645,0.999964065037,-0.119305175698,4.65462314775e-05,-0.119305175698,1.0,-1.25487046584e-05
134,1.0000306611,-0.119023936399,4.65462314775e-05,-0.119023936399,1.0,1.68526467219e-05
406,0.999995791654,-0.118692331261,4.65462314775e-05,-0.118692331261,1.0,-1.98081444822e-05
665,0.999992440397,-0.11841059623,4.65462314775e-05,-0.11841059623,1.0,9.91400035022e-06
154,1.00002594468,-0.118122403875,4.65462314775e-05,-0.118122403875,1.0,-2.26192375108e-05
426,0.999953321946,-0.117801053618,4.65462314775e-05,-0.117801053618,1.0,8.26523822228e-06
684,1.00011256802,-0.117515405859,4.65462314775e-05,-0.117515405859,1.0,7.67974987781e-06
174,1.00002164756,-0.117222196922,4.65462314775e-05,-0.117222196922,1.0,-9.96853604017e-05
446,0.999985747789,-0.116910019669,4.65462314775e-05,-0.116910019669,1.0,-1.65999408908e-05
704,0.99998486881,-0.116619299134,4.65462314775e-05,-0.116619299134,1.0,-2.43746046624e-06
194,0.999985035403,-0.116323064056,4.65462314775e-05,-0.116323064056,1.0,-4.00467751062e-05
466,1.00002478084,-0.116018976818,4.65462314775e-05,-0.116018976818,1.0,-5.89750399158e-05
724,0.999991351192,-0.115722389554,4.65462314775e-05,-0.115722389554,1.0,-1.36220219338e-06
214,1.00000978417,-0.115424814163,4.65462314775e-05,-0.115424814163,1.0,-6.53380228266e-06
485,0.999992022731,-0.1151280917,4.65462314775e-05,-0.1151280917,1.0,-6.59348458698e-06
743,0.999992652315,-0.114824628161,4.65462314775e-05,-0.114824628161,1.0,1.40921429883e-05
232,0.999959161094,-0.114527732941,4.65462314775e-05,-0.114527732941,1.0,-1.70756681371e-05
502,1.00008586608,-0.114237053021,4.65462314775e-05,-0.114237053021,1.0,-2.89234304029e-06
763,0.999992350077,-0.113925740658,4.65462314775e-05,-0.113925740658,1.0,1.66674593749e-06
252,0.999988199503,-0.11363156863,4.65462314775e-05,-0.11363156863,1.0,-1.01158465333e-05
520,1.00002826709,-0.113345908353,4.65462314775e-05,-0.113345908353,1.0,-4.64824347879e-06
0,1.00000292412,-0.113167410092,4.65462314775e-05,-0.113167410092,1.0,2.29599774564e-05
783,1.00008318514,-0.113025858629,4.65462314775e-05,-0.113025858629,1.0,-1.79831869859e-05
