,Description,Ground,Labels
0,Transit Midpoint,$2457828.69256_{-0.00098}^{+0.0011}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$1.673906_{-0.00005}^{+0.00005}$,$P$ (days)
2,Radius ratio,$0.0284_{-0.0014}^{+0.0014}$,$R_p/R_*$
3,Planet radius,$3.69_{-0.24}^{+0.24}$,$R_p (R_\oplus)$
4,Planet radius,$0.329_{-0.021}^{+0.021}$,$R_p (R_J)$
5,Transit depth,$0.000809_{-0.00008}^{+0.00008}$,$\delta$
6,Normalized orbital radius,$7.31_{-0.62}^{+0.46}$,$a/R_*$
7,Semi-major axis,$0.0402_{-0.0035}^{+0.0032}$,$a$ (AU)
8,Density of star,$2.64_{-0.62}^{+0.53}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$87.5_{-1.8}^{+1.7}$,$i$ $(^{\circ})$
10,Impact parameter,$0.32_{-0.22}^{+0.19}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$1122.0_{-39.0}^{+50.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$1100.0_{-150.0}^{+210.0}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0709_{-0.0023}^{+0.0021}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.00221_{-0.00025}^{+0.00048}$,$\tau$ (days)
17,Time of secondary eclipse,$2457829.52951_{-0.00098}^{+0.0011}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
