,Description,Ground,Labels
0,Transit Midpoint,$2457931.89779_{-0.00038}^{+0.00040}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$2.26044_{-0.0001}^{+0.0001}$,$P$ (days)
2,Radius ratio,$0.0782_{-0.0035}^{+0.0036}$,$R_p/R_*$
3,Planet radius,$2.46_{-0.26}^{+0.27}$,$R_p (R_\oplus)$
4,Planet radius,$0.219_{-0.023}^{+0.024}$,$R_p (R_J)$
5,Transit depth,$0.00612_{-0.00054}^{+0.00057}$,$\delta$
6,Normalized orbital radius,$14.2_{-2.1}^{+2.7}$,$a/R_*$
7,Semi-major axis,$0.019_{-0.0034}^{+0.0041}$,$a$ (AU)
8,Density of star,$10.7_{-4.1}^{+7.2}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$87.18_{-0.93}^{+1.0}$,$i$ $(^{\circ})$
10,Impact parameter,$0.701_{-0.17}^{+0.092}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$422.0_{-36.0}^{+37.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$21.9_{-6.5}^{+8.7}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0415_{-0.0018}^{+0.0025}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.0056_{-0.0018}^{+0.0025}$,$\tau$ (days)
17,Time of secondary eclipse,$2457933.02801_{-0.00039}^{+0.00040}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
