,Description,Ground,Labels
0,Transit Midpoint,$2457931.89782_{-0.00039}^{+0.00039}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$2.26044_{-0.0001}^{+0.0001}$,$P$ (days)
2,Radius ratio,$0.0783_{-0.0036}^{+0.0037}$,$R_p/R_*$
3,Planet radius,$2.46_{-0.26}^{+0.28}$,$R_p (R_\oplus)$
4,Planet radius,$0.219_{-0.023}^{+0.025}$,$R_p (R_J)$
5,Transit depth,$0.00612_{-0.00055}^{+0.00059}$,$\delta$
6,Normalized orbital radius,$14.2_{-2.2}^{+2.9}$,$a/R_*$
7,Semi-major axis,$0.019_{-0.0036}^{+0.0043}$,$a$ (AU)
8,Density of star,$10.7_{-4.3}^{+8.0}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$87.18_{-0.97}^{+1.1}$,$i$ $(^{\circ})$
10,Impact parameter,$0.701_{-0.19}^{+0.095}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$422.0_{-38.0}^{+39.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$21.9_{-6.9}^{+9.3}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0416_{-0.0019}^{+0.0027}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.0056_{-0.0019}^{+0.0026}$,$\tau$ (days)
17,Time of secondary eclipse,$2457933.02804_{-0.00039}^{+0.00039}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
