,Description,K2,Labels
0,Transit Midpoint,$2457931.8978_{-0.00037}^{+0.00036}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$2.26044551_{-0.0000010}^{+0.0000010}$,$P$ (days)
2,Radius ratio,$0.0822_{-0.0035}^{+0.0033}$,$R_p/R_*$
3,Planet radius,$2.58_{-0.27}^{+0.28}$,$R_p (R_\oplus)$
4,Planet radius,$0.23_{-0.024}^{+0.025}$,$R_p (R_J)$
5,Transit depth,$0.00676_{-0.00056}^{+0.00056}$,$\delta$
6,Normalized orbital radius,$13.9_{-1.7}^{+2.3}$,$a/R_*$
7,Semi-major axis,$0.0186_{-0.0029}^{+0.0036}$,$a$ (AU)
8,Density of star,$9.9_{-3.2}^{+5.9}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$86.97_{-0.74}^{+0.89}$,$i$ $(^{\circ})$
10,Impact parameter,$0.733_{-0.13}^{+0.070}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$427.0_{-33.0}^{+30.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$23.0_{-6.3}^{+7.1}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0414_{-0.0017}^{+0.0018}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.0063_{-0.0019}^{+0.0023}$,$\tau$ (days)
17,Time of secondary eclipse,$2457933.02803_{-0.00037}^{+0.00036}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
