,Description,Ground,Labels
0,Transit Midpoint,$2457931.89779_{-0.00036}^{+0.00038}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$2.26044547_{-0.0000010}^{+0.0000010}$,$P$ (days)
2,Radius ratio,$0.0797_{-0.0037}^{+0.0033}$,$R_p/R_*$
3,Planet radius,$2.5_{-0.26}^{+0.27}$,$R_p (R_\oplus)$
4,Planet radius,$0.223_{-0.023}^{+0.024}$,$R_p (R_J)$
5,Transit depth,$0.00635_{-0.00057}^{+0.00054}$,$\delta$
6,Normalized orbital radius,$14.0_{-1.7}^{+2.8}$,$a/R_*$
7,Semi-major axis,$0.0188_{-0.0029}^{+0.0041}$,$a$ (AU)
8,Density of star,$10.1_{-3.3}^{+7.3}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$87.01_{-0.77}^{+1.0}$,$i$ $(^{\circ})$
10,Impact parameter,$0.729_{-0.16}^{+0.073}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$425.0_{-37.0}^{+31.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$22.7_{-7.0}^{+7.2}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0411_{-0.0018}^{+0.0018}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.0061_{-0.0021}^{+0.0022}$,$\tau$ (days)
17,Time of secondary eclipse,$2457933.02801_{-0.00036}^{+0.00038}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
