,Description,K2,Labels
0,Transit Midpoint,$2456977.98992_{-0.00031}^{+0.00029}$,$T_{0}$ $(\mathrm{BJD_{TDB}})$
1,Orbital period,$2.260439_{-0.00002}^{+0.00002}$,$P$ (days)
2,Radius ratio,$0.0777_{-0.0025}^{+0.0063}$,$R_p/R_*$
3,Planet radius,$2.48_{-0.26}^{+0.29}$,$R_p (R_\oplus)$
4,Planet radius,$0.221_{-0.023}^{+0.026}$,$R_p (R_J)$
5,Transit depth,$0.00603_{-0.00039}^{+0.0010}$,$\delta$
6,Normalized orbital radius,$16.1_{-4.0}^{+3.8}$,$a/R_*$
7,Semi-major axis,$0.0213_{-0.0052}^{+0.0054}$,$a$ (AU)
8,Density of star,$15.6_{-8.9}^{+14.0}$,"$\rho_{\mathrm{*,transit}}$ ($\mathrm{g/cm^{3}}$)"
9,Transit inclination,$87.9_{-1.6}^{+1.4}$,$i$ $(^{\circ})$
10,Impact parameter,$0.61_{-0.36}^{+0.19}$,$b$
11,Eccentricity,$0.0_{-0.0}^{+0.0}$,$e$
12,Argument of periastron,$0.0_{-0.0}^{+0.0}$,$\omega$ ($^{\circ}$)
13,Equilibrium temp. (assuming $a=0.3$),$396.0_{-39.0}^{+60.0}$,$T_{\mathrm{eq}}$ (K)
14,Insolation Flux,$17.1_{-5.7}^{+13.0}$,$S$ ($S_{\oplus}$)
15,Transit duration,$0.0398_{-0.0020}^{+0.0038}$,$T_{14}$ (days)
16,Ingress/egress duration,$0.0044_{-0.0016}^{+0.0040}$,$\tau$ (days)
17,Time of secondary eclipse,$2456979.12014_{-0.00030}^{+0.00028}$,$T_{S}$ $(\mathrm{BJD_{TDB}})$
